,nbo words,nbo word count,review words,review word count,descrip words,descrip word count
263,"hill,",56,going,119,restaurant,168
264,museums,56,guest,118,table,167
265,hip,55,again!,117,lovely,167
266,"center,",55,station.,117,provided,166
267,looking,55,ever,116,smart,166
268,still,55,enjoy,115,parking.,164
269,walk.,55,spent,115,next,164
270,part,55,remuzzi,115,light,164
271,variety,54,although,114,street.,164
272,university,54,host!,114,pleasant,164
273,named,54,dupont,113,residential,163
274,*,54,awesome,112,sleeps,162
275,8th,54,interesting,112,questions,162
276,bad,54,est,112,garden,162
277,"parks,",53,happy,111,nearby,161
278,main,53,week,111,extra,161
279,day,53,front,111,store,160
280,by.,53,mall,111,beds,159
281,giant,53,i'm,110,vibrant,158
282,timber,52,equipped,110,etc.,157
283,red,52,"friendly,",109,city.,157
284,dupont,52,say,109,stocked,155
285,couple,51,pretty,109,building.,155
286,free,51,ride,109,single,154
287,transportation,51,"spacious,",109,call,154
288,stadium,51,"great,",109,offers,154
289,whole,51,market,109,see,154
290,united,51,since,108,upstairs,154
291,stroll,50,welcome,107,backyard,153
292,shop,50,easily,106,every,153
293,outdoor,50,.,106,luxury,153
294,yet,50,à,105,help,152
295,uber,50,car,105,"area,",152
296,big,49,brothers,104,lines,152
297,perfect,49,without,103,d.c.,152
298,fun,49,room.,103,phone,152
299,families,49,extra,103,mall,151
300,bustling,49,amenities,103,half,151
301,tons,48,denise,103,long,151
302,more.,48,la,102,mins,151
303,room,48,appreciated,102,charming,150
304,town,48,three,102,ideal,148
305,situated,48,wanted,102,popular,148
306,buildings,48,tv,102,include,147
307,"cafes,",48,natasha,102,number,146
308,(website,48,dc!,101,*,146
309,proximity,48,air,101,windows,145
310,areas,48,several,100,hardwood,143
311,safeway,47,conveniently,100,hidden,143
312,"food,",47,part,99,entrance.,143
313,lively,47,offered,99,breakfast,143
314,history,47,four,98,floors,143
315,·,47,eat,98,harris,143
316,art,46,store,98,would,141
317,filled,46,anything,96,"space,",141
318,ave,46,morning,96,ave.,141
319,night,46,book,96,comfortably,140
320,american,45,can't,96,center,140
321,cvs,45,--,96,st,140
322,there's,45,another,95,key,139
323,charming,45,stay!,95,"dc,",138
324,make,45,eastern,95,"museums,",138
325,excellent,44,tips,94,offer,138
326,"cvs,",44,place!,94,quick,137
327,visit,44,problem,93,families,137
328,five,44,serge's,93,avenue,136
329,beer,44,day.,92,airbnb),136
330,accessible,44,ami,92,completely,136
331,trendy,44,rossen,92,"couples,",136
332,largest,44,"house,",91,upon,136
333,"pizza,",43,used,91,"quiet,",135
334,"house,",43,perfect.,91,"home,",135
335,lot,43,communication,91,"apartment,",135
336,spots,43,condo,91,"wifi,",135
337,lovely,43,"quiet,",91,deck,134
338,"shopping,",43,worked,91,text,134
339,"walk,",43,plus,91,20,134
340,luxury,43,making,90,"linens,",133
341,waterfront,43,"washington,",90,comfy,133
342,farmer's,42,friend,90,solo,133
343,far,42,"area,",90,built,133
344,large,42,here.,90,corner,133
345,share,42,arrival,90,central,133
346,markets,42,friendly.,89,ave,132
347,nearby.,42,last,89,supreme,132
348,"stop,",42,kip,89,relax,131
349,"row,",42,look,88,dupont,131
350,lines,41,nous,88,unique,131
351,fresh,41,main,88,sleep,131
352,trader,41,hill,88,town,131
353,closed,40,convenient.,88,major,130
354,often,40,including,88,lincoln,130
355,saturday,40,walked,87,"towels,",129
356,early,40,i'd,87,green,129
357,mall.,40,overall,87,whole,129
358,dozens,40,15,87,view,128
359,weekend,40,cool,87,night,128
360,court,40,fully,87,w/,128
361,wine,39,:),86,plus,127
362,living,39,!,86,spaces,127
363,mexican,39,sarah,86,bathrooms,127
364,features,39,"room,",85,needs,127
365,called,39,give,85,",",127
366,explore,39,"hosts,",85,designed,127
367,neighborhoods.,39,transportation,84,looking,126
368,house.,39,light,84,/,126
369,via,39,plan,84,rear,125
370,oldest,39,flat,84,conveniently,125
371,baseball,39,melissa,84,"entrance,",124
372,middle,38,door,83,townhouse,124
373,"city,",38,instructions,83,airbnb,123
374,station.,38,fun,82,"bedrooms,",123
375,something,38,comfy,82,style,123
376,conveniently,38,night.,82,wonderful,123
377,woodley,38,let,82,i'm,123
378,rowhouses,37,nice.,81,bunk,123
379,dry,37,maps,81,know,122
380,run,37,still,81,king,122
381,circle,37,set,81,couch,122
382,half,37,"bed,",81,ground,122
383,lined,37,too.,81,floor.,121
384,historical,37,dog,81,24/7,121
385,home.,37,corner,80,we're,120
386,ice,37,travel,80,several,120
387,views,37,quickly,80,entry,119
388,marine,37,real,79,big,119
389,river,37,"neighborhood,",79,go,119
390,min.,36,snacks,79,four,119
391,outside,36,recommended,79,shower,118
392,come,36,might,79,along,117
393,arts,36,care,78,couple,117
394,strip,36,there's,78,gas,117
395,space,36,incredibly,77,+,116
396,entertainment,36,pleasure,77,experience,116
397,dc’s,36,capital,77,buses,116
398,always,36,train,77,stays,116
399,"store,",36,pictures,76,"bath,",115
400,lived,36,accommodating.,76,"heights,",115
401,silver,35,restaurants.,76,transportation,115
402,mt,35,min,76,views,115
403,shops.,35,neighbourhood,76,meet,114
404,yoga,35,guests,76,bedroom.,114
405,may,35,great!,76,privacy,114
406,"historic,",35,thought,76,2nd,114
407,northwest,35,jane,76,drive,113
408,"zoo,",35,kids,75,ample,112
409,hospital,35,center,75,8,111
410,stay,35,",",75,mall.,111
411,catholic,35,needs,75,areas,111
412,way,35,end,75,"appliances,",111
413,spot,35,laundry,75,stainless,111
414,yes,35,molly,75,flat,110
415,cultural,35,asked,74,bar,110
416,visitors,35,early,74,check-in,110
417,heights.,34,(and,74,uber,109
418,district.,34,hot,74,comes,109
419,coming,34,anthony,74,"floors,",108
420,el,34,across,74,yellow,108
421,sports,34,suggestions,74,appliances,108
422,years,34,fridge,74,car,108
423,side,34,nicely,73,beautifully,108
424,includes,34,coming,73,directly,107
425,convenience,34,"station,",73,museums,107
426,"corridor,",34,washer,73,rowhouse,107
427,late,34,makes,72,young,107
428,door,34,wifi,72,give,107
429,rental.,34,"overall,",72,red,107
430,teeters,34,weekend,72,h,107
431,quaint,33,kelly,72,16th,106
432,different,33,certainly,71,dc!,106
433,really,33,trip.,71,easily,106
434,bikeshare,33,unit,71,accessible,106
435,time,33,white,71,st.,106
